"","from","to","value"
"608",2971,2946,1
"609",3104,2946,1
"610",2705,2947,1
"611",2744,2947,1
"612",2910,2947,1
"613",2995,2947,1
"614",3070,2948,1
"615",2987,2949,1
"616",3033,2949,1
"617",2842,2950,1
"618",3061,2950,1
"619",2879,2952,1
"620",2910,2952,1
"621",3021,2952,1
"622",3056,2952,1
"623",2770,2953,1
"624",2815,2953,1
"625",2905,2953,1
"626",2978,2953,1
"627",2761,2959,1
"628",2948,2959,1
"629",3037,2959,1
"630",3070,2959,1
"631",2800,2963,1
"632",2889,2963,1
"633",2910,2963,1
"634",2995,2963,1
"635",2720,2965,1
"636",2768,2968,1
"637",2847,2968,1
"638",2860,2968,1
"639",2879,2968,1
"640",2992,2968,1
"641",2995,2968,1
"642",3008,2968,1
"643",3015,2968,1
"644",3108,2968,1
"645",2959,2970,1
"646",2768,2971,1
"647",2774,2971,1
"648",2879,2971,1
"649",2910,2971,1
"650",2978,2971,1
"651",2749,2972,1
"652",2761,2972,1
"653",2793,2972,1
"654",2948,2972,1
"655",3070,2972,1
"656",3083,2972,1
"657",2744,2973,1
"658",2879,2973,1
"659",2888,2973,1
"660",2919,2973,1
"661",2929,2973,1
"662",2971,2973,1
"663",2988,2973,1
"664",2996,2973,1
"665",3014,2973,1
"666",3049,2973,1
"667",2739,2975,1
"668",2988,2975,1
"669",2995,2975,1
"670",2910,2976,1
"671",2995,2976,1
"672",2767,2977,1
"673",2815,2977,1
"674",2879,2977,1
"675",3049,2977,1
"676",3015,2978,1
"677",2845,2984,1
"678",2938,2984,1
"679",2968,2984,1
"680",2995,2984,1
"681",3049,2984,1
"682",3091,2984,1
"683",3115,2984,1
"684",2963,2986,1
"685",3102,2986,1
"686",2710,2987,1
"687",2711,2987,1
"688",2872,2987,1
"689",2882,2987,1
"690",3033,2987,1
"691",2733,2988,1
"692",2810,2988,1
"693",2847,2988,1
"694",2858,2988,1
"695",2879,2988,1
"696",2995,2988,1
"697",3067,2988,1
"698",3104,2988,1
"699",2910,2992,1
"700",2976,2992,1
"701",2995,2992,1
"702",3021,2992,1
"703",2774,2995,1
"704",2800,2995,1
"705",2879,2995,1
"706",2910,2995,1
"707",2947,2995,1
"708",3010,2995,1
"709",3056,2995,1
"710",3104,2995,1
"711",3115,2995,1
"712",2685,2996,1
"713",2733,2996,1
"714",2744,2996,1
"715",2872,2996,1
"716",2888,2996,1
"717",3104,2996,1
"718",2770,2998,1
"719",3073,2998,1
"720",3104,2999,1
"721",2816,3000,1
"722",3104,3000,1
"723",2800,3006,1
"724",2889,3006,1
"725",3067,3006,1
"726",3102,3006,1
"727",2845,3008,1
"728",2847,3008,1
"729",2879,3008,1
"730",2968,3008,1
"731",2995,3008,1
"732",3015,3008,1
"733",2847,3009,1
"734",2988,3009,1
"735",2995,3009,1
"736",3049,3009,1
"737",3056,3009,1
"738",3067,3009,1
"739",3149,3009,1
"740",2910,3010,1
"741",2947,3010,1
"742",2995,3010,1
"743",3056,3010,1
"744",3057,3010,1
"745",3104,3010,1
"746",2690,3011,1
"747",2799,3011,1
"748",2879,3011,1
"749",2925,3011,1
"750",2970,3011,1
"751",2975,3011,1
"752",2988,3011,1
"753",2995,3011,1
"754",3010,3011,1
"755",3019,3011,1
"756",3067,3011,1
"757",3071,3011,1
"758",2703,3013,1
"759",2749,3013,1
"760",2828,3013,1
"761",2882,3013,1
"762",2917,3013,1
"763",2972,3013,1
"764",3066,3013,1
"765",3083,3013,1
"766",3092,3013,1
"767",2765,3014,1
"768",2879,3014,1
"769",2910,3014,1
"770",3104,3014,1
"771",2847,3015,1
"772",2879,3015,1
"773",2888,3015,1
"774",2977,3015,1
"775",2733,3016,1
"776",2829,3016,1
"777",2988,3016,1
"778",3110,3016,1
"779",3115,3016,1
"780",3133,3016,1
"781",2814,3019,1
"782",2922,3019,1
"783",2946,3019,1
"784",2988,3019,1
"785",2971,3020,1
"786",3014,3020,1
"787",3104,3020,1
"788",2761,3022,1
"789",2995,3022,1
"790",2810,3026,1
"791",2847,3026,1
"792",2879,3026,1
"793",3014,3026,1
"794",3049,3026,1
"795",3104,3026,1
"796",2678,3028,1
"797",3114,3028,1
"798",2723,3032,1
"799",2909,3032,1
"800",2872,3033,1
"801",3028,3033,1
"802",3021,3034,1
"803",2757,3036,1
