"","numid1","numid2","node1","node2","relation"
"134",4,14,"osborne","mcgovern","Weekly"
"135",4,2,"osborne","miller","Weekly"
"136",4,15,"osborne","palmer","Weekly"
"137",4,19,"osborne","sadler","Weekly"
"138",4,6,"osborne","young","Weekly"
"139",15,16,"palmer","aoki","Weekly"
"140",15,20,"palmer","booker","Weekly"
"141",15,12,"palmer","carter","Weekly"
"142",15,11,"palmer","conway","Weekly"
"143",15,13,"palmer","dunkin","Weekly"
"144",15,17,"palmer","dupper","Weekly"
"145",15,18,"palmer","faust","Weekly"
"146",15,5,"palmer","hill","Weekly"
"147",15,9,"palmer","mach","Weekly"
"148",15,7,"palmer","marsh","Weekly"
"149",15,2,"palmer","miller","Weekly"
"150",15,4,"palmer","osborne","Weekly"
"151",15,3,"palmer","rogers","Weekly"
"152",15,19,"palmer","sadler","Weekly"
"153",15,10,"palmer","stempel","Weekly"
"154",3,16,"rogers","aoki","Weekly"
"155",3,12,"rogers","carter","Weekly"
"156",3,11,"rogers","conway","Weekly"
"157",3,18,"rogers","faust","Weekly"
"158",3,5,"rogers","hill","Weekly"
"159",3,15,"rogers","palmer","Weekly"
"160",3,10,"rogers","stempel","Weekly"
"161",19,16,"sadler","aoki","Weekly"
"162",19,20,"sadler","booker","Weekly"
"163",19,12,"sadler","carter","Weekly"
"164",19,11,"sadler","conway","Weekly"
"165",19,8,"sadler","dempsey","Weekly"
"166",19,13,"sadler","dunkin","Weekly"
"167",19,17,"sadler","dupper","Weekly"
"168",19,18,"sadler","faust","Weekly"
"169",19,9,"sadler","mach","Weekly"
"170",19,7,"sadler","marsh","Weekly"
"171",19,14,"sadler","mcgovern","Weekly"
"172",19,2,"sadler","miller","Weekly"
"173",19,4,"sadler","osborne","Weekly"
"174",19,15,"sadler","palmer","Weekly"
"175",19,3,"sadler","rogers","Weekly"
"176",19,6,"sadler","young","Weekly"
"177",10,11,"stempel","conway","Weekly"
"178",10,18,"stempel","faust","Weekly"
"179",10,5,"stempel","hill","Weekly"
"180",10,3,"stempel","rogers","Weekly"
"181",6,12,"young","carter","Weekly"
"182",6,18,"young","faust","Weekly"
"183",6,5,"young","hill","Weekly"
"184",6,1,"young","hunt","Weekly"
"185",6,9,"young","mach","Weekly"
"186",6,7,"young","marsh","Weekly"
"187",6,4,"young","osborne","Weekly"
"188",6,3,"young","rogers","Weekly"
"189",6,19,"young","sadler","Weekly"
