"","From","To","relation","value"
"354",50,194,"Required",1
"355",50,194,"Advice",1
"356",50,194,"Feeling",4
"357",50,194,"Conflict",1
"358",50,319,"Required",1
"359",50,319,"Advice",1
"360",50,319,"Feeling",5
"361",50,319,"Conflict",1
"362",50,134,"Required",1
"363",50,134,"Feeling",5
"364",50,134,"Conflict",1
"365",50,211,"Required",1
"366",50,211,"Advice",1
"367",50,211,"Feeling",5
"368",50,211,"Conflict",1
"369",50,52,"Required",1
"370",50,52,"Advice",1
"371",50,52,"Feeling",5
"372",50,52,"Conflict",1
"373",50,100,"Required",1
"374",50,100,"Feeling",5
"375",50,100,"Conflict",1
"376",50,40,"Required",1
"377",50,40,"Advice",1
"378",50,40,"Feeling",4
"379",50,40,"Conflict",1
"380",50,129,"Required",1
"381",50,129,"Advice",1
"382",50,129,"Feeling",5
"383",50,129,"Conflict",1
"384",52,211,"Required",1
"385",52,211,"Advice",1
"386",52,211,"Feeling",5
"387",52,211,"Conflict",1
"388",52,332,"Required",1
"389",52,332,"Feeling",4
"390",52,332,"Conflict",1
"391",52,130,"Required",1
"392",52,130,"Feeling",4
"393",52,130,"Conflict",1
"394",52,100,"Required",1
"395",52,100,"Feeling",5
"396",52,100,"Conflict",1
"397",52,24,"Required",1
"398",52,24,"Feeling",4
"399",52,24,"Conflict",1
"400",52,335,"Required",1
"401",52,335,"Feeling",5
"402",52,335,"Conflict",2
"403",52,137,"Required",1
"404",52,137,"Feeling",2
"405",52,137,"Conflict",2
"406",52,200,"Required",1
"407",52,200,"Feeling",3
"408",52,200,"Conflict",2
"409",52,209,"Required",1
"410",52,209,"Advice",1
"411",52,209,"Feeling",5
"412",52,209,"Conflict",1
"413",52,84,"Required",1
"414",52,84,"Advice",1
"415",52,84,"Feeling",5
"416",52,84,"Conflict",1
"417",52,40,"Required",1
"418",52,40,"Advice",1
"419",52,40,"Feeling",2
"420",52,40,"Conflict",2
"421",52,111,"Required",1
"422",52,111,"Feeling",2
"423",52,111,"Conflict",1
"424",52,50,"Required",1
"425",52,50,"Advice",1
"426",52,50,"Feeling",5
"427",52,50,"Conflict",1
"428",52,339,"Required",1
"429",52,339,"Advice",1
"430",52,339,"Feeling",5
"431",52,339,"Conflict",1
"432",52,220,"Required",1
"433",52,220,"Advice",1
"434",52,220,"Feeling",4
"435",52,220,"Conflict",2
"436",52,194,"Required",1
"437",52,194,"Feeling",2
"438",52,194,"Conflict",1
"439",52,145,"Required",1
"440",52,145,"Feeling",5
"441",52,145,"Conflict",1
"442",52,21,"Required",1
"443",52,21,"Advice",1
"444",52,21,"Feeling",4
"445",52,21,"Conflict",1
"446",52,60,"Feeling",5
"447",52,60,"Conflict",1
"448",52,303,"Feeling",4
"449",52,303,"Conflict",1
"450",52,129,"Required",1
"451",52,129,"Feeling",4
"452",52,129,"Conflict",1
"453",52,257,"Advice",1
"454",52,257,"Feeling",5
"455",52,257,"Conflict",1
"456",52,180,"Advice",1
"457",52,180,"Feeling",5
"458",52,180,"Conflict",1
"459",52,134,"Required",1
"460",52,134,"Feeling",2
"461",52,134,"Conflict",1
"462",52,350,"Required",1
"463",52,350,"Advice",1
"464",52,350,"Feeling",3
"465",52,350,"Conflict",1
"466",52,298,"Required",1
"467",52,298,"Feeling",4
"468",52,298,"Conflict",1
"469",52,56,"Required",1
"470",52,56,"Feeling",4
"471",52,56,"Conflict",1
"472",52,171,"Required",1
"473",52,171,"Advice",1
"474",52,171,"Feeling",4
"475",52,171,"Conflict",1
"476",56,298,"Required",1
"477",56,298,"Advice",1
"478",56,298,"Feeling",5
"479",56,298,"Conflict",2
"480",56,183,"Required",1
"481",56,183,"Advice",1
"482",56,183,"Feeling",5
"483",56,183,"Conflict",3
"484",56,40,"Required",1
"485",56,40,"Advice",1
"486",56,40,"Feeling",5
"487",56,40,"Conflict",2
"488",56,171,"Required",1
"489",56,171,"Feeling",5
"490",56,171,"Conflict",1
"491",56,192,"Required",1
"492",56,192,"Feeling",5
"493",56,192,"Conflict",1
"494",56,43,"Required",1
"495",56,43,"Advice",1
"496",56,43,"Feeling",4
"497",56,43,"Conflict",4
"498",56,276,"Required",1
"499",56,276,"Feeling",5
"500",56,276,"Conflict",2
"501",56,220,"Required",1
"502",56,220,"Advice",1
"503",56,220,"Feeling",5
"504",56,220,"Conflict",2
"505",56,80,"Required",1
"506",56,80,"Advice",1
"507",56,80,"Feeling",5
"508",56,80,"Conflict",1
"509",56,267,"Required",1
"510",56,267,"Feeling",5
"511",56,267,"Conflict",1
"512",56,211,"Required",1
"513",56,211,"Feeling",5
"514",56,211,"Conflict",1
"515",56,52,"Required",1
"516",56,52,"Feeling",5
"517",56,52,"Conflict",1
"518",56,349,"Required",1
"519",56,349,"Advice",1
"520",56,349,"Feeling",5
"521",56,349,"Conflict",1
"522",56,182,"Required",1
"523",56,182,"Advice",1
"524",56,182,"Feeling",4
"525",56,182,"Conflict",2
"526",56,87,"Required",1
"527",56,87,"Advice",1
"528",56,87,"Feeling",5
"529",56,87,"Conflict",1
"530",59,267,"Required",1
"531",59,267,"Advice",1
"532",59,267,"Feeling",4
"533",59,267,"Conflict",1
"534",59,16,"Feeling",4
"535",59,16,"Conflict",1
"536",59,344,"Feeling",4
"537",59,344,"Conflict",1
"538",59,306,"Feeling",4
"539",59,306,"Conflict",1
"540",59,20,"Feeling",4
"541",59,20,"Conflict",1
"542",59,147,"Feeling",4
"543",59,147,"Conflict",1
"544",59,275,"Feeling",4
"545",59,275,"Conflict",1
"546",59,163,"Feeling",2
"547",59,163,"Conflict",1
"548",59,90,"Feeling",3
"549",59,90,"Conflict",1
"550",59,300,"Feeling",3
"551",59,300,"Conflict",1
"552",59,238,"Feeling",3
"553",59,238,"Conflict",1
"554",59,293,"Feeling",3
"555",59,293,"Conflict",1
"556",59,206,"Feeling",3
"557",59,206,"Conflict",1
"558",59,30,"Feeling",3
"559",59,30,"Conflict",1
"560",59,267,"Feeling",3
"561",59,267,"Conflict",1
"562",59,312,"Feeling",4
"563",59,312,"Conflict",1
"564",59,37,"Feeling",3
"565",59,37,"Conflict",1
"566",60,303,"Required",1
"567",60,303,"Feeling",5
"568",60,303,"Conflict",1
"569",60,209,"Required",1
"570",60,209,"Feeling",2
"571",60,209,"Conflict",2
"572",60,50,"Required",1
"573",60,50,"Feeling",5
"574",60,50,"Conflict",3
