"","from","to","value"
"548",2944,2895,1
"549",3013,2895,1
"550",2965,2896,1
"551",2728,2897,1
"552",2949,2900,1
"553",2987,2900,1
"554",3033,2900,1
"555",2683,2901,1
"556",2802,2901,1
"557",2910,2904,1
"558",2920,2904,1
"559",2728,2905,1
"560",2790,2905,1
"561",2815,2905,1
"562",2897,2905,1
"563",3135,2905,1
"564",3013,2907,1
"565",2744,2908,1
"566",2881,2908,1
"567",2910,2908,1
"568",2918,2908,1
"569",2976,2908,1
"570",3010,2908,1
"571",3056,2908,1
"572",3067,2908,1
"573",3071,2908,1
"574",2690,2909,1
"575",2814,2909,1
"576",3104,2909,1
"577",2904,2910,1
"578",3140,2910,1
"579",2683,2911,1
"580",2802,2911,1
"581",2995,2911,1
"582",2683,2912,1
"583",2799,2912,1
"584",2802,2912,1
"585",2911,2912,1
"586",3019,2912,1
"587",3115,2912,1
"588",3110,2913,1
"589",2854,2915,1
"590",2978,2915,1
"591",3013,2917,1
"592",2910,2918,1
"593",2995,2918,1
"594",3021,2918,1
"595",2973,2919,1
"596",2984,2919,1
"597",2995,2919,1
"598",3051,2919,1
"599",3091,2919,1
"600",3115,2919,1
"601",2910,2920,1
"602",3036,2920,1
"603",3068,2920,1
"604",2823,2922,1
"605",3019,2922,1
"606",3058,2922,1
"607",2719,2925,1
"608",2910,2925,1
"609",2968,2926,1
"610",2678,2929,1
"611",2684,2929,1
"612",2712,2929,1
"613",2720,2929,1
"614",2723,2929,1
"615",2731,2929,1
"616",2733,2929,1
"617",2753,2929,1
"618",2765,2929,1
"619",2768,2929,1
"620",2779,2929,1
"621",2784,2929,1
"622",2789,2929,1
"623",2804,2929,1
"624",2845,2929,1
"625",2847,2929,1
"626",2868,2929,1
"627",2880,2929,1
"628",2888,2929,1
"629",2898,2929,1
"630",2910,2929,1
"631",2922,2929,1
"632",2938,2929,1
"633",2959,2929,1
"634",2977,2929,1
"635",2978,2929,1
"636",2995,2929,1
"637",3020,2929,1
"638",3021,2929,1
"639",3026,2929,1
"640",3028,2929,1
"641",3070,2929,1
"642",3072,2929,1
"643",3073,2929,1
"644",3102,2929,1
"645",3104,2929,1
"646",3114,2929,1
"647",3115,2929,1
"648",3140,2929,1
"649",2995,2938,1
"650",2706,2944,1
"651",2749,2944,1
"652",3013,2944,1
"653",3082,2944,1
"654",2701,2945,1
"655",2829,2945,1
"656",3016,2945,1
"657",3036,2945,1
"658",3133,2945,1
"659",3149,2945,1
"660",2703,2946,1
"661",2766,2946,1
"662",3033,2946,1
"663",3066,2946,1
"664",2705,2947,1
"665",2744,2947,1
"666",2910,2947,1
"667",2706,2948,1
"668",2880,2948,1
"669",2944,2948,1
"670",3070,2948,1
"671",3151,2948,1
"672",2842,2950,1
"673",2852,2950,1
"674",2865,2950,1
"675",3033,2950,1
"676",3143,2950,1
"677",2686,2952,1
"678",2696,2952,1
"679",2795,2952,1
"680",2804,2952,1
"681",2859,2952,1
"682",2910,2952,1
"683",2925,2952,1
"684",2992,2952,1
"685",3021,2952,1
"686",3056,2952,1
"687",3057,2952,1
"688",3062,2952,1
"689",3070,2952,1
"690",3072,2952,1
"691",3083,2952,1
"692",2815,2953,1
"693",2855,2953,1
"694",2905,2953,1
"695",2820,2959,1
"696",2970,2959,1
"697",3037,2959,1
"698",3060,2959,1
"699",3070,2959,1
"700",2715,2963,1
"701",2910,2963,1
"702",3102,2963,1
"703",2720,2965,1
"704",2984,2968,1
"705",3008,2968,1
"706",3102,2968,1
"707",3060,2970,1
"708",2690,2971,1
"709",2768,2971,1
"710",2774,2971,1
"711",2910,2971,1
"712",2978,2971,1
"713",3033,2971,1
"714",3037,2971,1
"715",3056,2971,1
"716",3114,2971,1
"717",3115,2971,1
"718",2749,2972,1
"719",3013,2972,1
"720",3066,2972,1
"721",3083,2972,1
"722",2744,2973,1
"723",2752,2973,1
"724",3091,2973,1
"725",3133,2973,1
"726",2739,2975,1
"727",2860,2975,1
"728",3144,2975,1
"729",2696,2976,1
"730",2910,2976,1
"731",2968,2976,1
"732",2679,2977,1
"733",2696,2977,1
"734",2804,2977,1
"735",2815,2977,1
"736",2845,2977,1
"737",2859,2977,1
"738",2919,2977,1
"739",2968,2977,1
"740",2975,2977,1
"741",3006,2977,1
"742",3067,2977,1
"743",3070,2977,1
"744",3072,2977,1
"745",3073,2977,1
"746",3102,2977,1
"747",3108,2977,1
"748",3114,2977,1
"749",3133,2977,1
"750",2784,2978,1
"751",2815,2978,1
"752",2854,2978,1
"753",2880,2978,1
"754",2884,2978,1
"755",2995,2978,1
"756",3073,2978,1
"757",3104,2978,1
"758",3102,2986,1
"759",2949,2987,1
"760",2975,2988,1
"761",3010,2988,1
"762",3016,2988,1
"763",3144,2988,1
"764",2731,2992,1
"765",2774,2992,1
"766",2846,2992,1
"767",2910,2992,1
"768",2968,2992,1
"769",3108,2992,1
"770",2696,2995,1
"771",2774,2995,1
"772",2798,2995,1
"773",2845,2995,1
"774",2879,2995,1
"775",2910,2995,1
"776",2947,2995,1
"777",2975,2995,1
"778",2984,2995,1
"779",3009,2995,1
"780",3056,2995,1
"781",3067,2995,1
"782",3071,2995,1
"783",3080,2995,1
"784",3103,2995,1
"785",3104,2995,1
"786",3115,2995,1
"787",3149,2995,1
"788",2704,2996,1
"789",2733,2996,1
"790",2744,2996,1
"791",2779,2996,1
"792",2795,2996,1
"793",2838,2996,1
"794",2845,2996,1
"795",2858,2996,1
"796",2872,2996,1
"797",2880,2996,1
"798",2884,2996,1
"799",2888,2996,1
"800",2938,2996,1
"801",2978,2996,1
"802",2984,2996,1
"803",2988,2996,1
"804",2992,2996,1
"805",2995,2996,1
"806",3010,2996,1
"807",3021,2996,1
"808",3022,2996,1
"809",3032,2996,1
"810",3055,2996,1
"811",3057,2996,1
"812",3067,2996,1
"813",3071,2996,1
"814",3073,2996,1
"815",3091,2996,1
"816",3102,2996,1
